,N0 [atoms/b-cm],ZAID,XS [barns],MT,T chamber [Kelvin],P chamber [Pa],Theta,Xe Conc [atoms/b-cm]
69,0.0,441000,0.5528558896814862,102,1693.0,2683750.0,60.0,0.0
70,0.0,441010,1.9171388354420833,102,1693.0,2683750.0,60.0,0.0
71,0.0,441020,0.17575979548746926,102,1693.0,2683750.0,60.0,0.0
72,0.0,441030,0.7427707712277589,102,1693.0,2683750.0,60.0,0.0
73,0.0,441040,0.13766392218380843,102,1693.0,2683750.0,60.0,0.0
74,0.0,441050,0.13914309122129864,102,1693.0,2683750.0,60.0,0.0
75,0.0,441060,0.045821317995440085,102,1693.0,2683750.0,60.0,0.0
76,0.0,451030,24.485418390026226,102,1693.0,2683750.0,60.0,0.0
77,0.0,451050,1240.6713426832678,102,1693.0,2683750.0,60.0,0.0
78,0.0,461040,0.351235225590465,102,1693.0,2683750.0,60.0,0.0
79,0.0,461050,2.7704217895994208,102,1693.0,2683750.0,60.0,0.0
80,0.0,461060,0.16860750779588426,102,1693.0,2683750.0,60.0,0.0
81,0.0,461070,1.785919678541417,102,1693.0,2683750.0,60.0,0.0
82,0.0,461080,3.8765313108245154,102,1693.0,2683750.0,60.0,0.0
83,0.0,461100,0.06975445871512323,102,1693.0,2683750.0,60.0,0.0
84,0.0,471070,3.959619261993558,102,1693.0,2683750.0,60.0,0.0
85,0.0,471090,24.955398946103287,102,1693.0,2683750.0,60.0,0.0
86,0.0,471110,1.6157672072056857,102,1693.0,2683750.0,60.0,0.0
87,0.0,473100,0.0,102,1693.0,2683750.0,60.0,0.0
88,0.0,481080,0.2763824619896225,102,1693.0,2683750.0,60.0,0.0
89,0.0,481100,1.3015264627742038,102,1693.0,2683750.0,60.0,0.0
90,0.0,481110,1.1746129824063607,102,1693.0,2683750.0,60.0,0.0
91,0.0,481120,0.34079601741655524,102,1693.0,2683750.0,60.0,0.0
92,0.0,481130,2785.9057591987353,102,1693.0,2683750.0,60.0,0.0
93,0.0,481140,0.22968581855350115,102,1693.0,2683750.0,60.0,0.0
94,0.0,481160,0.03864072633487435,102,1693.0,2683750.0,60.0,0.0
95,0.0,483150,0.0,102,1693.0,2683750.0,60.0,0.0
96,0.0,491130,5.4362593623740425,102,1693.0,2683750.0,60.0,0.0
97,0.0,491150,58.39734807753007,102,1693.0,2683750.0,60.0,0.0
98,0.0,50100,0.03564828525937501,102,1693.0,2683750.0,60.0,0.0
99,0.0,50110,0.00039857031865204523,102,1693.0,2683750.0,60.0,0.0
100,0.0,501120,0.5205566960555322,102,1693.0,2683750.0,60.0,0.0
101,0.0,501130,3.6583334418602362,102,1693.0,2683750.0,60.0,0.0
102,0.0,501140,0.15166814245420612,102,1693.0,2683750.0,60.0,0.0
103,0.0,501150,4.0533669314216985,102,1693.0,2683750.0,60.0,0.0
104,0.0,501160,0.20430115751078698,102,1693.0,2683750.0,60.0,0.0
105,0.0,501170,0.34419301777318306,102,1693.0,2683750.0,60.0,0.0
106,0.0,501180,0.08171674328117276,102,1693.0,2683750.0,60.0,0.0
107,0.0,501190,0.23632991887823743,102,1693.0,2683750.0,60.0,0.0
108,0.0,501200,0.031051921049731954,102,1693.0,2683750.0,60.0,0.0
109,0.0,501220,0.021483134495830735,102,1693.0,2683750.0,60.0,0.0
110,0.0,501230,1.2180556919342262,102,1693.0,2683750.0,60.0,0.0
111,0.0,501240,0.1263724841194039,102,1693.0,2683750.0,60.0,0.0
112,0.0,501250,0.14837578992538691,102,1693.0,2683750.0,60.0,0.0
113,0.0,501260,0.009259113324976491,102,1693.0,2683750.0,60.0,0.0
114,0.0,511210,2.8834320184725017,102,1693.0,2683750.0,60.0,0.0
115,0.0,511230,1.6870163098612103,102,1693.0,2683750.0,60.0,0.0
116,0.0,511240,3.256267733511292,102,1693.0,2683750.0,60.0,0.0
117,0.0,511250,1.2636601042091102,102,1693.0,2683750.0,60.0,0.0
118,0.0,511260,3.4627776292857853,102,1693.0,2683750.0,60.0,0.0
119,0.0,521220,1.3965110611883167,102,1693.0,2683750.0,60.0,0.0
120,0.0,521230,105.43067856929115,102,1693.0,2683750.0,60.0,0.0
121,0.0,521240,0.5016070794452019,102,1693.0,2683750.0,60.0,0.0
122,0.0,521250,0.4284275992683801,102,1693.0,2683750.0,60.0,0.0
123,0.0,521260,0.14905809316020624,102,1693.0,2683750.0,60.0,0.0
124,0.0,521280,0.037657421259691466,102,1693.0,2683750.0,60.0,0.0
125,0.0,521300,0.017772464670537377,102,1693.0,2683750.0,60.0,0.0
126,0.0,521320,0.012106457223312146,102,1693.0,2683750.0,60.0,0.0
127,0.0,523270,0.0,102,1693.0,2683750.0,60.0,0.0
128,0.0,523290,0.0,102,1693.0,2683750.0,60.0,0.0
129,0.0,531270,2.62301414838505,102,1693.0,2683750.0,60.0,0.0
130,0.0,531290,2.4080494426530157,102,1693.0,2683750.0,60.0,0.0
131,0.0,531300,2.382211537967746,102,1693.0,2683750.0,60.0,0.0
132,0.0,531310,6.375953581863302,102,1693.0,2683750.0,60.0,0.0
133,0.0,531350,5.685663681262446,102,1693.0,2683750.0,60.0,0.0
134,0.0,541260,1.2136505513351408,102,1693.0,2683750.0,60.0,0.0
135,0.0,541280,0.5430652135397238,102,1693.0,2683750.0,60.0,0.0
136,0.0,541290,4.869004414158862,102,1693.0,2683750.0,60.0,0.0
137,0.0,541300,0.396335460287647,102,1693.0,2683750.0,60.0,0.0
138,0.0,541310,17.721286794112608,102,1693.0,2683750.0,60.0,0.0
139,0.0,541320,0.11627442161361384,102,1693.0,2683750.0,60.0,0.0
140,0.0,541330,13.639164475515246,102,1693.0,2683750.0,60.0,0.0
141,0.0,541340,0.02649631802979113,102,1693.0,2683750.0,60.0,0.0
142,0.0,541350,205080.4779920575,102,1693.0,2683750.0,60.0,0.0
143,0.0,541360,0.019123780549305233,102,1693.0,2683750.0,60.0,0.0
144,0.0,551330,7.2305041566817705,102,1693.0,2683750.0,60.0,0.0
145,0.0,551340,10.59971669814283,102,1693.0,2683750.0,60.0,0.0
146,0.0,551350,1.290501044752283,102,1693.0,2683750.0,60.0,0.0
147,0.0,551360,1.611014116503342,102,1693.0,2683750.0,60.0,0.0
148,0.0,551370,0.0230736538239931,102,1693.0,2683750.0,60.0,0.0
149,0.0,561320,1.253545881104382,102,1693.0,2683750.0,60.0,0.0
150,0.0,561330,1.768322938555895,102,1693.0,2683750.0,60.0,0.0
151,0.0,561340,0.43169741959764185,102,1693.0,2683750.0,60.0,0.0
152,0.0,561350,1.870635369216378,102,1693.0,2683750.0,60.0,0.0
153,0.0,561360,0.08141949456335226,102,1693.0,2683750.0,60.0,0.0
154,0.0,561370,0.2901913591182356,102,1693.0,2683750.0,60.0,0.0
155,0.0,561380,0.030949356852542183,102,1693.0,2683750.0,60.0,0.0
156,0.0,561400,0.3155232756175605,102,1693.0,2683750.0,60.0,0.0
