,N0 [atoms/b-cm],ZAID,XS [barns],MT,T chamber [Kelvin],P chamber [Pa],Theta,Xe Conc [atoms/b-cm]
197,0.0,631560,31.525063418977993,102,468.0,489500.0,60.0,0.0
198,0.0,631570,18.40671671316304,102,468.0,489500.0,60.0,0.0
199,0.0,641520,54.546714802348895,102,468.0,489500.0,60.0,0.0
200,0.0,641540,8.688879089397581,102,468.0,489500.0,60.0,0.0
201,0.0,641550,2864.2722027356062,102,468.0,489500.0,60.0,0.0
202,0.0,641560,1.70253430431669,102,468.0,489500.0,60.0,0.0
203,0.0,641570,12155.344332335944,102,468.0,489500.0,60.0,0.0
204,0.0,641580,1.1553186787640268,102,468.0,489500.0,60.0,0.0
205,0.0,641600,0.2247456514141955,102,468.0,489500.0,60.0,0.0
206,0.0,651590,7.4675759290349095,102,468.0,489500.0,60.0,0.0
207,0.0,651600,71.06619580162655,102,468.0,489500.0,60.0,0.0
208,0.0,661580,6.428224741882854,102,468.0,489500.0,60.0,0.0
209,0.0,661600,18.77870353393197,102,468.0,489500.0,60.0,0.0
210,0.0,661610,53.05989895756791,102,468.0,489500.0,60.0,0.0
211,0.0,661620,48.38592033988019,102,468.0,489500.0,60.0,0.0
212,0.0,661630,29.01128726289963,102,468.0,489500.0,60.0,0.0
213,0.0,661640,172.8986439509048,102,468.0,489500.0,60.0,0.0
214,0.0,671650,13.74298685937753,102,468.0,489500.0,60.0,0.0
215,0.0,673660,0.0,102,468.0,489500.0,60.0,0.0
216,0.0,681640,3.3995204246322843,102,468.0,489500.0,60.0,0.0
217,0.0,681660,2.5274005131206954,102,468.0,489500.0,60.0,0.0
218,0.0,681670,123.6770841791937,102,468.0,489500.0,60.0,0.0
219,0.0,681680,0.7446994231128492,102,468.0,489500.0,60.0,0.0
220,0.0,681700,1.2252223802510804,102,468.0,489500.0,60.0,0.0
221,0.000920796,70140,0.00542046674286675,102,468.0,489500.0,60.0,0.0
222,3.32698e-06,70150,6.749547109959773e-06,102,468.0,489500.0,60.0,0.0
223,1.22621e-08,80160,1.385835004421307e-05,102,468.0,489500.0,60.0,0.0
224,0.0,80170,0.0003161567548229609,102,468.0,489500.0,60.0,0.0
225,0.0,822060,0.004705691293886142,102,468.0,489500.0,60.0,0.0
226,0.0,822070,0.053143322723026916,102,468.0,489500.0,60.0,0.0
227,0.0,822080,0.0002907067396672188,102,468.0,489500.0,60.0,0.0
228,0.0,832090,0.006057935777465035,102,468.0,489500.0,60.0,0.0
229,0.0,882230,14.365550636419115,102,468.0,489500.0,60.0,0.0
230,0.0,882240,1.2252267040402027,102,468.0,489500.0,60.0,0.0
231,0.0,882250,14.520663490590712,102,468.0,489500.0,60.0,0.0
232,0.0,882260,5.4918455615993915,102,468.0,489500.0,60.0,0.0
